file,,name,include,copyright,copyrightLink,category,disputed,territory,all,,style,canton,star,emblemFlag,red white blue,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,coldWar
41741363.svg,,Iraq,,,none,asia,asiaDisputed,asiaTerritories,asiaAll,,triband,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
03969268.svg,,Ireland,,,none,europe,europeDisputed,europeTerritories,europeAll,,triband,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
68633575.svg,,Israel,,,none,asia,asiaDisputed,asiaTerritories,asiaAll,,,,star,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,coldWar
57543454.svg,,Italy,,,none,europe,europeDisputed,europeTerritories,europeAll,,triband,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,coldWar
17008700.svg,,Côte d'Ivoire,,,none,africa,africaDisputed,africaTerritories,africaAll,,triband,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
39801791.svg,,Jamaica,,,none,na,,naTerritories,naAll,,,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
64477227.svg,,Japan,,,none,asia,asiaDisputed,asiaTerritories,asiaAll,,,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,coldWar
41564326.svg,,Jordan,,,none,asia,asiaDisputed,asiaTerritories,asiaAll,,,,star,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
84888768.svg,,Kazakhstan,,,none,asia,asiaDisputed,asiaTerritories,asiaAll,,,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
20380804.svg,,Kenya,,,none,africa,africaDisputed,africaTerritories,africaAll,,,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
85932054.svg,,Kiribati,,,none,oceania,,oceaniaTerritories,oceaniaAll,,,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
61214274.svg,,Kosovo,,,none,europe,europeDisputed,europeTerritories,europeAll,,,,star,,,,worldDisputed,,worldAll,,allFiles,allFlags,
05763251.svg,,Kuwait,,,none,asia,asiaDisputed,asiaTerritories,asiaAll,,,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
83005837.svg,,Kyrgyzstan,,,none,asia,asiaDisputed,asiaTerritories,asiaAll,,,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
39644732.svg,,Laos,,,none,asia,asiaDisputed,asiaTerritories,asiaAll,,triband,,,,rwb,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
10667610.svg,,Latvia,,,none,europe,europeDisputed,europeTerritories,europeAll,,triband,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
47261096.svg,,Lebanon,,,none,asia,asiaDisputed,asiaTerritories,asiaAll,,triband,,,emblemFlag,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
21839189.svg,,Lesotho,,,none,africa,africaDisputed,africaTerritories,africaAll,,triband,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
20861520.svg,,Liberia,,,none,africa,africaDisputed,africaTerritories,africaAll,,,canton,star,,rwb,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
88668202.svg,,Libya,,,none,africa,africaDisputed,africaTerritories,africaAll,,triband,,star,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
72056287.svg,,Liechtenstein,,,none,europe,europeDisputed,europeTerritories,europeAll,,,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
56102131.svg,,Lithuania,,,none,europe,europeDisputed,europeTerritories,europeAll,,triband,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
83451526.svg,,Luxembourg,,,none,europe,europeDisputed,europeTerritories,europeAll,,triband,,,,rwb,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
84653452.svg,,Madagascar,,,none,africa,africaDisputed,africaTerritories,africaAll,,,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
10107427.svg,,Malawi,,,none,africa,africaDisputed,africaTerritories,africaAll,,triband,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
44832277.svg,,Malaysia,,,none,asia,asiaDisputed,asiaTerritories,asiaAll,,,canton,star,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
66832168.svg,,Maldives,,,none,africa,africaDisputed,africaTerritories,africaAll,,,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
69494346.svg,,Mali,,,none,africa,africaDisputed,africaTerritories,africaAll,,triband,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
